"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-2", "209", "ServerA.java:92", "Variable Write", " context=ClientHandler:3#run:3, sock=""Socket[addr=/127.0.0.1,port=46836,localport=5056]"""
"Thread-2", "210", "ServerA.java:93", "Line Step", " file=ServerA.java, line=93"
"Thread-2", "211", "ServerA.java:94", "Line Step", " file=ServerA.java, line=94"
"Thread-2", "212", "ServerA.java:94", "Field Read", " context=ClientHandler:3, s"
"Thread-2", "213", "ServerA.java:95", "Line Step", " file=ServerA.java, line=95"
"Thread-2", "214", "ServerA.java:96", "Line Step", " file=ServerA.java, line=96"
"Thread-2", "215", "ServerA.java:136", "Line Step", " file=ServerA.java, line=136"
"Thread-2", "216", "ServerA.java:136", "Method Exit", " returner=ClientHandler:3#run:3, value=<void>"
"Thread-2", "217", "ServerA.java:81", "Method Returned", " "
"Thread-2", "218", "SYSTEM", "Thread End", " "
"Thread-1", "219", "ServerA.java:87", "Variable Write", " context=ClientHandler:2#run:2, received=""Exit"""
"Thread-1", "220", "ServerA.java:89", "Line Step", " file=ServerA.java, line=89"
"Thread-1", "221", "ServerA.java:91", "Line Step", " file=ServerA.java, line=91"
"Thread-1", "222", "ServerA.java:91", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "223", "ServerA.java:92", "Line Step", " file=ServerA.java, line=92"
"Thread-1", "224", "ServerA.java:92", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "225", "ServerA.java:92", "Variable Write", " context=ClientHandler:2#run:2, sock=""Socket[addr=/127.0.0.1,port=46832,localport=5056]"""
"Thread-1", "226", "ServerA.java:93", "Line Step", " file=ServerA.java, line=93"
"Thread-1", "227", "ServerA.java:94", "Line Step", " file=ServerA.java, line=94"
"Thread-1", "228", "ServerA.java:94", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "229", "ServerA.java:95", "Line Step", " file=ServerA.java, line=95"
"Thread-1", "230", "ServerA.java:96", "Line Step", " file=ServerA.java, line=96"
"Thread-1", "231", "ServerA.java:136", "Line Step", " file=ServerA.java, line=136"
"Thread-1", "232", "ServerA.java:136", "Method Exit", " returner=ClientHandler:2#run:2, value=<void>"
"Thread-1", "233", "ServerA.java:81", "Method Returned", " "
"Thread-1", "234", "SYSTEM", "Thread End", " "
"Thread-0", "235", "ServerA.java:87", "Variable Write", " context=ClientHandler:1#run:1, received=""Exit"""
